Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
0,0,0,0,0,0,0,0,0,67,614,1
1,0.4,2,0,0,0,0,0,2,80,49,1
1,0,0,0,0,0,0,0,2,88,6176,1
1,0,0,78,0,1,0,0,1,34,154,1
1,0,1,0,0,0,0,0,3,60,4163,1
1,0.273,0,12,0,0,0,0,3,10,545,1
1,0,0,0,0,1,0,0,3,35,1267,1
1,0.111,1,7,0,0,0,0,5,257,4871,1
1,0.222,2,0,0,1,0,0,1,162,28,1
1,0,0,0,0,0,0,0,2,72,6163,1
1,0,1,0,0,0,0,0,38,521,1458,1
1,0,1,0,0,0,0,0,3,70,4713,1
1,0,2,36,0,1,0,0,6175,157,166,1
1,0,3,137,0,0,0,0,186,197,689,1
1,0,2,0,0,0,0,0,1,351,2088,1
1,0,1,133,0,0,0,1,176,244,3113,1
1,0.25,2,59,0,1,0,0,164,728,1020,1
1,0,0,0,0,0,0,0,3,85,6091,1
1,0,1,0,0,0,0,0,2,94,6233,1
1,0.133,2,39,0,0,0,0,159,1780,7447,1
1,0.25,1,0,0,1,0,0,427,611,2234,1
1,0,1,0,0,0,0,0,3,71,6250,1
1,0,0,0,0,0,0,0,2,62,3501,1
1,0,0,0,0,1,0,0,2,38,6319,1
1,0,0,0,0,0,0,0,5,61,3183,1
0,0.5,0,0,0,1,0,0,0,526,3338,1
1,0,2,0,0,1,0,0,22,610,703,1
1,0,1,0,0,0,0,0,3,76,5846,1
1,0,1,0,0,0,0,0,2,74,6217,1
1,0.1,1,0,0,0,0,0,2,6,529,1
1,0,1,0,0,0,0,0,2,62,4081,1
1,0.167,2,114,0,0,0,0,7,547,5132,1
1,0,0,0,0,0,0,0,4,81,5680,1
1,0,0,0,0,0,0,0,6,76,5890,1
1,0,1,0,0,1,0,0,2,285,6003,1
1,0,2,116,0,1,0,0,223,194,7457,1
1,0.667,1,0,0,0,0,0,2,158,5619,1
1,0,0,0,0,0,0,0,3,53,6189,1
1,0.267,1,0,0,1,0,0,178,138,506,1
1,0.222,1,0,0,0,0,0,1,5,180,1
1,0,0,0,0,0,0,0,2,97,6202,1
0,0.286,2,19,0,1,0,0,0,79,57,1
1,0,0,0,0,0,0,0,2,23,4517,1
1,0,0,0,0,0,0,0,2,93,6156,1
1,0,1,0,0,0,0,0,3,62,2291,1
0,0.273,1,0,0,0,0,0,0,1313,2412,1
1,0.2,1,0,0,1,0,0,92,43,132,1
1,0.333,1,0,0,1,0,0,16,411,7043,1
1,0.4,1,0,0,0,0,0,7,121,7335,1
0,0.556,1,0,1,1,0,0,2,17,247,1
1,0,1,0,0,0,0,0,3,67,5070,1
0,0,0,0,0,1,0,0,0,262,6202,1
1,0.045,4,61,0,0,0,0,14,142,1588,1
1,0,1,0,0,0,0,0,5,94,6171,1
1,0,0,0,0,0,0,0,3,84,6250,1
